filename,transcript,whisper_results
16,இந்த தூண்கள் கட்ட நான்காயிரம் டன் சிமெண்ட் பயன்படுத்தப்பட்டது,இந்தத் தூண்கள் கட்ட நான்காயிரம் தண் சிமெண்ட் பயன்படுத்தப்பட்டது.
17,ஒவ்வொரு கிரகத்திற்கும் தனி காரகத்துவம் உள்ளது,ஒவ்வொரு கரகத்திற்கும் தனி காரகத்துவம் உள்ளது.
18,தோல் உயிரணுக்கள் இரத்தமாக மாற்ற வழிமுறை கண்டுபிடிப்பு,தோல் வீரணுக்கல் ரத்தமாக மாற்ற வழிமுறை கண்டுபிடிப்பு
19,பங்குச் சந்தை குறியீட்டு எண் சரிவு,பங்குசந்தை குறியிட்டு என் சரிவு
20,முந்நூறு அடியில்,300 అటియల
21,நட்சத்திரம் என்பது என்ன?,நட்சத்திரம் என்பது என்ன?
22,ப்ளாஸ்ட்டிக் சர்ஜரி துறை நவீனமாகும்,ப்லாஸ்டிக் சர்ஜரி துரை நவீனம் ஆகும்
23,ஜூலை ஒன்று மருத்துவர் தினம்,ஜூலை ஒன்று மருத்துவர் தினம்
24,லேசாக இடதுபுறம் வளைந்து செல்க,லேசாக இடது புறம் வளைந்து செல்க.
25,இந்த செயலை இக்கருவியால் இன்னவன் செய்துமுடிப்பான் என்று,இந்த செயலை இக்கறவியால் இன்னவன் செய்து முடிப்பான் என்று
26,ஏற்கனவே ஓர் ஆயிரத்தி தொள்ளாயிரத்தி எண்பத்தி மூன்றில் இருந்து அறுபத்தி ஐந்து,ஏற்கனவே 1983 இல் இருந்து 65 ஆண்டுகளுக்கு முன்னால் இருக்கும் அவர்களுக்கு முன்னால் இருக்கும்
27,ஆதரவானது என அவர்கள் கூச்சலிட்டனர்,ஆதரவானதி என அவர்கள் கூச்சலிட்டனர்
28,காஷ்மீருக்கு தனி நாடு அந்தஸ்தை கொடுக்கலாம் ஆனால் தற்போதுள்ள சூழ்நிலையில் அங்கு சுதந்திரத்தை எதிர்பார்க்க முடியாது,காஸ்மீருக்கு தனி நாடு அந்தஸ்தை கொடுக்கலாம். ஆனால் தரப்போது இல்ல சூழ்ந்தையில் அங்க சுதந்திரத்தை எதிர்பார்க்க முடியாது.
29,விளைவித்ததால் இழப்பு ஏற்பட்டது குறித்து புகாரும் கூறினார்,விலைவித்தாள் இலப்பு ஏற்பட்டது குறித்து புகாரும் கூறினார்.
30,தட்டினை விடவும் அதிக பலமுள்ளதாக இருக்கிற ஒரு சக்தி பக்கம் கட்டாயம் திரும்பவேண்டும்,தட்டினை விடவும் அதிக பலமுள்ளதாக இருக்கிற ஒரு சக்தி பக்கம் கட்டாயம் திரும்ப வேண்டும்
31,ஏட்டின்படி டிசம்பர் இரண்டு ஆயிரத்தி ஒன்பதுக்குள் நூறு பில்லியன் யூரோக்களை,ஏட்டின்படி டிசம்பர் 2009 குள் 100 பில்லியன் இரோக்கலை
32,அதிகாரிகளுக்கே சந்தேகமாகத்தான் உள்ளது,அதிகாரிகளுக்கே சந்தேகமாகத்தான் உள்ளது.
33,வில்வீரர் யோசியா ராஜாவின்மேல் அம்பெய்தார்கள் அப்பொழுது ராஜா தன் ஊழியக்காரரை,வில் வீரர் யோசியா ராஜாவின் மேல் அம்பெய்தார்கள் அப்போலது ராஜா தன் ஊளியக்காரரை
34,திரையிட பட்ட பாடல்களில் விஜய்யின் நடனம்,திரைடப்பட்ட பாடல்களில் விஜயின் நடனம்
35,குர்திஷ் பிராந்திய அரசாங்கத்திற்கு அமெரிக்கா மற்றும் பிரிட்டன் நெற்க்கடி கொடுத்தன,குர்த்திஸ் பிராந்தியா அரசாங்கத்திற்கு அமேரிக்கா மற்றும் பிரெட்டன் நெட்கடி கொடுத்தன.
36,வாழ்க்கையை சுதந்திரத்தை அல்லது சொத்துக்களை உரிய வழிமுறைகள் இல்லாமல்,"வாழ்க்கையை, சுதுந்திரத்தை அல்லது சொத்துக்கலை உரிய வளிமுறைகள் இல்லாமல்"
37,ஒருவன் தனக்கு பொருளாக அடக்கத்தை யுண்டாக்குக,ஒருவன் தனக்கு பொருளாக அடக்கத்தையும் இண்டாக்குக்கு
38,போர்த்திட்டங்கள் குறைந்த பட்சம் இரண்டு இலட்சத்தி ஐம்பது ஆயிரம் துருப்புக்கள்,போர் திட்டங்கள் குறைந்த பச்சம் இரண்டு லச்சத்து ஐயஂபத்து ஆயரஂ துருப்புகள்
39,பர்வேஸ் முஷாரஃப்புடன் புஷ் பேச திட்டமிட்டுள்ளதாக,பர்வேஸ் முசாரஃவுடன் புஸ் பேச திட்டமுட்டுள்ளதாக
40,புட்டினுடைய ஆட்சி இனைக்கமுடியாத அளவிற்கு உடன் பிளவுண்டிருப்பதாக மாஸ்கோவின்,புட்டினொடி ஆச்சி இனிக்க முடியாத அளவிற்கு உடன் விலவுண்டிருப்பதாக மாஸ்கோவில் கண்டிப்பதாக
41,பகையையும் நட்பாக மாற்றி அவருடன் இணைந்து வாழும்,பகையையும் நட்பாக மாற்றி அவருடன் இணைந்து வாழும்
42,போலீஸாரால் சுற்றி வளைக்கப்பட்டிருந்தது அதுவொரு பழங்கால கோட்டையாக தெரிந்தது,போலிசாரால் சுற்றி வளைக்கப்பட்டு இருந்தது. அது ஒரு பழங்கால கோட்டையாக தெரிந்தது.
43,கடத்திய இரு எரிபொருள் டாங்கர்கள் மீது குண்டுவீச அமெரிக்க தாக்குதல் விமானத்தின் உதவியை நாடினார்,கடத்திய இரு எறிபொருள் தேங்கர்கள் மீது குண்டு வீச அமெரிக்கத் தாக்குதல் விமானத்தின் உதவியை நாடினார்
44,பயங்கரவாதத்தின் மீதான புஷ்ஷின் யுத்தம் பற்றிய சோசியலிச சமத்துவ கட்சியின்,பயங்கரவாதத்தின் மீதான புஷ்ஷின் யுத்தம் பற்றிய சோசியலிசம் சமத்துவ கட்சின்
45,அப்பாஸிற்கு நிதி ஆதரவு கொடுப்பதாகவும் மேற்க்கரையின் மீது சுமத்த பட்டுள்ள,அப்பாசிருக்கு நிதியாதர்வு கொடுப்பதாகும் மேர்க்கரையின் மீது சுமத்தப்பட்டுள்ளப் பார்த்துகிறீர்கள்
46,அடைந்த ஆறாம் ஆண்டு நிறைவு நாளில் கூப்பிடப்பட்டுள்ள இந்த,ஆராம் ஆண்டு நிறைவு நாளில் கூப்பிடப்பட்டுள்ள இந்த இயத்தைக் கேட்டுக்கொள்ளுங்கள்
47,கூட்டுழைப்புவாத தத்துவங்கள் அத்தனை முனைகளிலும் தோல்வியுற்றுள்ளன,கூட்டுளைப்பு வாத தத்துவங்கள் அத்தனை முனைகளிலும் தோழியுச்சுளண.
48,புஷ் நிர்வாகத்தை தீவிரமாக கண்டிக்கிறார் படையெடுத்து சென்று அந்த நாட்டை முறியடித்ததை சாடுகிறார்,"புஷ் நிர்வாகத்தை தீவரமாகக் கண்டிக்கிறார், பழையெழுத்துச் சென்று அந்த நாட்டை முதியடுத்ததை சாடிக்கிறார்."
49,இடது கட்சியினர் சீர்திருத்தங்கள் என்று கூறப்படுபவட்டை செயல்படுத்துவதில் வலதுசாரிகளைப் போன்று,இடது கச்சினர் சீதிருத்தங்கள் என்று கூறப்படுவ வட்டைச் செய்யல்படுத்துவதில் வளர்த்தசாரிகளைப் போன்று
