,question,option_a,option_b,option_c,option_d,correct answer,option,subject,llama_score
15,எண்ணத்தை வெளிப்படுத்துவது,இயல்தமிழ்,இசைதமிழ்,முத்தமிழ்,நாடகத்தமிழ்,இயல்தமிழ்,0,literature,0
16,பாரதிதாசன் இயற்பெயர்,சுப்புரத்தினதாசன்,சுப்புரத்தினம்,சுப்ரமணியன்,சுப்பையா,சுப்புரத்தினம்,1,literature,0
17,நிலவு + என்று சேர்த்து எழுது,நிலவென்று,நிலவன்று,நிலவுஎன்று,நிலயென்று,நிலவென்று,0,literature,0
18,அசதி என்பதன் பொருள்,அலைச்சல்,சோர்வு,சோம்பேறி,தூக்கம்,சோர்வு,1,literature,1
19,வரகு-தாவர இலை பெயர் காண்க,மடல்,கூந்தல்,தாள்,புல்,தாள்,2,literature,0
20,----------- தமிழ் கண்டாய் எனப் பாடியவர் யார்,திருநாவுக்கரசர்,திருஞானசம்பந்தர்,சுந்தர்ர்,மாணிக்கவாசகர்,திருநாவுக்கரசர்,0,literature,0
21,மேதினி என்பதன் பொருள்,உலகம்,வானம்,ஊழி,மேகம்,உலகம்,0,literature,0
22,உலகில்----- மேற்பட்ட மொழிகள் உள்ளன,5000,6000,3000,4000,6000,1,literature,0
23,தமிழ்க்கும்மி நூலின் தொகுதிகள் எத்தணை,8,12,6,4,8,0,literature,0
24,சித்தம் என்பதன் பொருள் என்ன,உள்ளம்,மணம்,குணம்,மனம்,உள்ளம்,0,literature,0
25,நன்மாடங்கள் என்னும் சொல்லை பிரிக்க கிடைக்கும் சொல்,நன்மை+மாடங்கள்,நற்+மாடங்கள்,நல்+மாடங்கள்,நன்+மாடங்கள்,நன்மை+மாடங்கள்,0,literature,0
26,வெளிநாட்டு பறவைகளுக்கு புகலிடமாக திகழும் தென்னிந்திய மாநிலம் எது ,கேரளா,கர்நாடக,ஆந்திரா,தமிழ்நாடு,தமிழ்நாடு,3,literature,1
27,காக்கை குருவி எங்கள் சாதி என்று கூறியவர்,வாணிதாசன்,சலீம் அலி,பாரதிதாசன்,பாரதியார்,பாரதியார்,3,literature,1
28, உலக சிட்டுக்குருவி நாள்,மே6,மே20,மார்ச்12,மார்ச் 20,மார்ச் 20,3,literature,1
29,ஆர்டிக் ஆலா பறக்கும் தொலைவு,220கி.மீ,22000கி.மீ,400கி.மீ,2200கி.மீ,22000கி.மீ,1,literature,1
30,பறவைகள் பற்றிய படிப்பு,ஆர்னித்தாலஜி,எக்கோசிஸ்டம்,எண்டோமாலஜி,எபிகிராபி,ஆர்னித்தாலஜி,0,literature,0
31,சிட்டுக்குருவி வாழ முடியாத பகுதி,இமயமலை,வளைகுடா,துருவ பகுதி,பழநி மலை,துருவ பகுதி,2,literature,0
32,கிழவனும் கடலும் என்ற நூலின் ஆசிரியர்,ஜான்சன்,ஏர்னஸ்ட் ஹமிங்வே,ஏர்னஸ்ட் ஹாக்கிங்,ஹெர்வி ஸ்பியர்,ஏர்னஸ்ட் ஹமிங்வே,2,literature,0
33,திருக்குறள் எத்தணை சொற்களில் அறத்தை கற்று தருகிறது,2,8,6,7,7,3,literature,0
34,முடியாத செயலை முடித்துக் காட்டுபவர் யார்,குடும்பத்தலைவர்,சிறியோர்,பெரியோர்,கிராமத்தலைவர்,பெரியோர்,2,literature,0
35,திருக்குறள் எத்தனை ஆண்டுகளுக்கு முன் இயற்றப்பட்டது,2100,2500,200,2000,2000,3,literature,1
36,எழுத்துக்களுக்கு தொடக்கமாக அமைவது எதுவென திருவள்ளுவர் குறிப்பிடுகிறார்,ஆ,ஃ,உ,அ,அ,3,literature,1
37,ரியோ நகரில் மாற்றுதிறனாளிகளுக்கான ஒலிம்பிக் போட்டி நடைப்பெற்ற ஆண்டு,2004,2008,2012,2016,2016,3,literature,0
38,ரியோ எந்த நாட்டின் தலைநகரம்,ஜெர்மனி,ரஷ்யா,பிரேசில்,பிரான்ஸ்,பிரேசில்,2,literature,1
39,கழுத்தில் சூடுவது,தார்,மேகலை,தண்டை,கணையாழி,தார்,0,literature,0
40,கொங்கு என்பதன் பொருள் ,மரகந்தம்,அச்சம் தரும் கடல்,கருணை,மலர்தல்,மரகந்தம்,0,literature,0
41,அளி என்பதன் பொருள் ,கருணை,மரகந்தம்,இமயமலை,ஆணைச்சக்கரம்,கருணை,0,literature,0
42,ஆத்திமலர் மாலையை அணிந்தவர்,பாண்டியமன்னன்,சோழமன்னன்,சேரமன்னன்,பாளையக்காரர்கள்,சோழமன்னன்,1,literature,0
43,"""Migration"" என்ற சொல்லுக்கு இணையான தமிழ் சொல்லைக் கூறுக.",பயணம் செய்தல்,வலசை,புகலிடம்,இடம்பெயர்தல்,வலசை,1,literature,0
44,"""Continent ""என்ற சொல்லுக்கு இணையான தமிழ்  சொல்லைக் கூறுக.",கண்டம்,நாடு,உலகம்,கன்டம்,கண்டம்,0,literature,0
45,"""Weather""என்ற சொல்லுக்கு இணையான தமிழ் சொல்லைக் கூறுக.",அப்படி இருந்தால்,பருவநிலை,வெயில்,வானிலை,வானிலை,3,literature,1
46,அலர் என்பதன் பொருள்,காய்தல்,வாடுதல்,மலர்தல்,விரிதல்,மலர்தல்,2,literature,1
47,"திங்கள்,ஞாயிறு,மழை,என இயற்கையை வாழ்த்துவதாக அமைந்த நூல் எது?",மணிமேகலை,சிலப்பதிகாரம்,குண்டலகேசி,பாரதிதாசன் கவிதைகள்,சிலப்பதிகாரம்,1,literature,1
48,"""Climate"" என்ற சொல்லுக்கு இணையான தமிழ் சொல்லைக் கூறுக",பருவகால மாற்றம்,வானிலை,தட்பவெப்பநிலை,பருவநிலை,தட்பவெப்பநிலை,2,literature,0
49,தொல்காப்பியத்தில் உள்ள இயல்களின் எண்ணிக்கை,23,25,26,27,27,3,literature,0
50,புறநானூறு பாடல்களின் எண்ணிக்கை,450,400,250,300,400,1,literature,1
51,திருக்குறள் முதன்முதலில் அச்சிடப்பட்ட ஆண்டு,1812,1864,1893,1903,1812,0,literature,0
52,தமிழ் புலமைபெருங்கடல் என அழைக்கப்பட்டவர்,கம்பர்,உ.வே.சா,பெ.சுந்தரனார்,பாரதி,உ.வே.சா,1,literature,0
53,குடும்ப விளக்கு நூலை இயற்றியவர்,ஆறுமுக நாவலர்,பாரதியார்,பாரதிதாசன்,தாரா பாரதி,பாரதிதாசன்,2,literature,0
54,பகைவரை வென்றதை பாடும் இலக்கியம்,தூது,பரணி,உலா,கலம்பகம்,பரணி,1,literature,0
55,தமிழினின் கிளை மொழிகளில் ஒன்று,தெலுங்கு,இந்தி,உருது,ஆங்கிலம்,தெலுங்கு,0,literature,0
56,மலைக்கள்ளன் என்ற நூலின் ஆசிரியர்,புதுமைபித்தன்,நாரயணகவி,ராமலிங்கனார்,மு.வ,ராமலிங்கனார்,2,literature,0
57,பகு்தறிவு கவிராயர் என அழைக்கப்படுபவர்,நாமக்கல் கவிஞர்,பாரதிதாசன்,உடுமலை நாரயணகவி,மு.வ,உடுமலை நாரயணகவி,2,literature,0
58,தமிழ்மொழி எத்தணை கூறுகளை கொண்டது,3,2,6,4,2,1,literature,1
59,அற்புதம் என்பதன் பொருள்,மழை,மேகம்,வானவில்,விந்தை,விந்தை,3,literature,1
60,பேச்சு மொழியை------என்று கூறுவர்,வட்டார வழக்கு,உலக வழக்கு,உரைநடை வழக்கு,சொலவடைகள்,உலக வழக்கு,1,literature,0
61,முகிலினும் புகழ் படைத்த உபகாரி என்பதன் பொருள்,காரியம்,வள்ளல்,மன்னன்,உதவுவன்,வள்ளல்,1,literature,0
62,எல்லா மனிதரும் இன்புறவே என்றும் இசைந்திடும் அன்பறமே எனப் பாடியவர்,நாமக்கல் கவிஞர்,வள்ளலார்,பாரதியார்,பாரதிதாசன்,நாமக்கல் கவிஞர்,0,literature,0
63,எழுத்து மொழியை _____ வழக்கு என்பர்,மொழி,நூல்,இலக்கிய,உலக,இலக்கிய,2,literature,0
64,தமிழகத்தின் முதல் அரசவைக்கவிஞர்,புதுமைபித்தன்,ராமலிங்கனார்,கண்ணதாசன்,கல்யாணசுந்தரனார்,ராமலிங்கனார்,1,literature,0
65,கீழ்கண்டவற்றுள் எது மா என்னும் சொல் தரும் பொருள் அல்ல,வயல்,வண்டு,சங்கு,பெரிய,சங்கு,2,literature,0
66,நாடு+யாது என்பதை சேர்த்து எழுதுக,நாடுயாது,நாடுஆது,நாடியாது,நாடுஅது,நாடியாது,2,literature,0
67,"மொழியின் முதல்நிலை பேசுதல்,_______ ஆகியவையாகும்",கேட்டல்,படித்தல்,வரைதல்,எழுதுதல்,கேட்டல்,0,literature,0
68,நெறி என்ற சொல்லின் பொருள் என்ன,வழி,அறம்,குறிக்கோள்,கொள்கை,வழி,0,literature,0
69,கொக்கியாது என பிரித்து எழுதுக,கொக்கு+யாது,கொக்கி+யாது,கொக்கு+ஆது,கொக்கி+ஆது,கொக்கு+யாது,0,literature,0
70,வான்புகழ் கொண்ட நூல் எது,பரிபாடல்,பரணி ,கலம்பகம்,திருக்குறள்,திருக்குறள்,3,literature,1
71,பொறாமை இல்லாதவருடைய வறுமை யாரால் ஆராயப்படும்,சான்றோர்களால்,புலவர்களால்,தேவர்களால்,மன்னர்களால்,சான்றோர்களால்,0,literature,0
72,ஆசிய யானைகளில் ஆண்-பெண் யானைகளை வேறுபடுத்துவது எது ?,கண்,தந்தம்,காது,கால்நகம்,தந்தம்,1,literature,1
73,எளிமையின் இலக்கணம்,பாரதியார்,கக்கன்,நாகம்மை,ராஜாஜி,கக்கன்,1,literature,0
74,கொற்கைக் கடல் ---------கொழித்தது,முத்து வளம்,வைரம் வளம்,பவளம் வளம்,மீன் வளம்,முத்து வளம்,0,literature,0
75,விருதுப்பட்டி வீர்ர் யார்?,காமராசர்,கட்டபொம்மன்,வாஞ்சிநாதன்,வள்ளியம்மை,காமராசர்,0,literature,0
76,அறம் செய்ய விரும்பு என கூறியவர்,வள்ளுவர்,பரணர்,வள்ளலார்,ஔவையார்,ஔவையார்,3,literature,0
77,இரா.பி.சேதுவின் எந்த நூல் சாகித்ய அகாடமி விருது வாங்கியது,இன்பத்தமிழ்,தமிழ் விருந்து,ஊரும் பேரும்,தமிழ் இன்பம்,தமிழ் இன்பம்,3,literature,1
78,பரி என்பதன் பொருள் ,யானை,நாய்,குதிரை,ஓநாய்,குதிரை,2,literature,0
79,திருவள்ளுவமாலையை இயற்றியவர் யார்?,கபிலர்,கம்பர்,பரணர்,ஔவையார்,கபிலர்,0,literature,0
0,செய்யுளில் ஒரே பொருள் தரும் பல சொற்கள் வருவதற்கு என்ன பெயர்,சிலேடை,பொருள் பின்வரு நிலை அணி,உவமை,உருவகம்,பொருள் பின்வரு நிலை அணி,1,grammar,0
1,அணி என்னும் சொல்லுக்கு என்ன பொருள்,அழகு,வளர்ச்சி,ஒற்றுமை,செயல்,அழகு,0,grammar,0
2,இரட்டுரமொழிதல் அணியின் வேறு பெயர்,சிலேடை அணி,வஞ்சப்புகழ்ச்சி அணி,இரட்டுற மொழிதல்,உவமை அணி,சிலேடை அணி,0,grammar,0
3,இரட்டுரமொழிதல் அணியின் வகைகள்,2,3,4,5,2,0,grammar,0
4,பா எத்தனை வகைப்படும்,5,4,8,9,4,1,grammar,1
5,வெண்பா என்ன ஓசை பெற்று வரும்?,செப்பலோசை,அகவலோசை,ஆசரி,எவையுமில்லை,செப்பலோசை,0,grammar,0
6,இரு உதடுகள் பொருந்துவதால் பிறக்கும் எழுத்துகள்,"ப்,ம்","ய்,ர்","ப்,க்","க்,ங்","ப்,ம்",0,grammar,0
7,ஆசிரியப்பா என்ன ஓசை பெற்று வரும்,ஆசரி,செப்பலோசை,அகவலோசை,எவையுமில்லை,அகவலோசை,2,grammar,0
8,வெண்பாவின் வகைகள்,6,8,5,4,6,0,grammar,0
9,இரண்டு அடிகளை கொண்ட வெண்பா,குறள் வெண்பா,நேரிசை வெண்பா,இன்னிசை வெண்பா,சிந்தியல் வெண்பா,குறள் வெண்பா,0,grammar,0
10,புறத்திணைகள் மொத்தம்,12,8,5,10,12,0,grammar,0
11,பண்பு பெயர் புணர்ச்சி விதிகள்,7,5,8,6,7,0,grammar,0
12,"வினா,விடை வகைகள்","5,3","6,8","4,6","4,3","6,8",1,grammar,0
13,ஆய்தம்_____எழுத்து வகையை சார்ந்தது,முதலொழுத்து,உயிரெழுத்து,மெய்யெழுத்து,சார்பெழுத்து,சார்பெழுத்து,3,grammar,0
14,தமிழ்மொழியில் உள்ள எழுத்துக்கள்,245,246,247,249,247,2,grammar,0
15,கழுத்தில் இருந்து பிறப்பது,வல்லினம்,மெல்லினம்,இடையினம்,அனைத்தும்,இடையினம்,2,grammar,1
16,மூக்கில் இருந்து பிறப்பது,இடையினம்,வல்லினம்,மெல்லினம்,அனைத்தும்,மெல்லினம்,2,grammar,0
17,மார்பு இருந்து பிறப்பது,மெல்லினம்,இடையினம்,வல்லினம்,அனைத்தும்,வல்லினம்,2,grammar,0
18,அங்காப்பு என்பதன் பொருள்,வாயைத் திறத்தல்,பல்லை நா விளிப்பு தொடுதல் ,உதடுகளை குவித்து ஒலித்தல்,நாவினது முதற்பகுதி அன்னத்தைதொடுதல்,வாயைத் திறத்தல்,0,grammar,0
19,மனமுழா எந்த தினைக்குறிய பறைகள்,குறிஞ்சி,முல்லை ,மருதம்,நெய்தல்,மருதம்,2,grammar,0
20,வேய்புரைதோள்- உவம உருபு காண்க,வேய்,புரை,தோள்,வேள்,புரை,1,grammar,1
21,மலரன்ன சேவடி- உவம உருபு காண்க,மலர்,அன்ன,சேவடி,அலர்,அன்ன,1,grammar,0
22,வெண்பாவின் ஓசை,செப்பலோசை,அகவலோசை,தூங்கலோசை,துள்ளலோசை,செப்பலோசை,0,grammar,0
23,ஆசிரியப்பாவின் ஓசை,செப்பலோசை,துள்ளலோசை,அகவலோசை,செப்பலோசை,அகவலோசை,2,grammar,0
24,"செய்,கல்,படி என்று முடியும் வாக்கியம்",கட்டளை வாக்கியம்,செய்தி வாக்கியம்,உணர்ச்சி வாக்கியம்,தன் வினை வாக்கியம்,கட்டளை வாக்கியம்,0,grammar,0
25,ஔ என்பது மாத்திரை,கால் மாத்திரை,அரைமாத்திரை,ஒரு மாத்திரை,இரண்டு மாத்திரை,இரண்டு மாத்திரை,3,grammar,1
26,ஔவை சொல் இடம் பெறும் மாத்திரை,கால் மாத்திரை,அரை மாத்திரை,ஒரு மாத்திரை,ஒன்றரை மாத்திரை,ஒன்றரை மாத்திரை,3,grammar,1
27,சொல்லுக்கு முதலில் மட்டும் வரும் குறுக்கம்,மகரகுறுக்கம்,ஆயுத குறுக்கம்,ஐகாரகுறுக்கம்,ஔகாரகுறுக்கம்,ஔகாரகுறுக்கம்,3,grammar,0
28,அந்தமான் என்பது,தனிமொழி,தொடர்மொழி,பொதுமொழி,குறிப்பு,பொதுமொழி,2,grammar,0
29,உடன்பட்டு கூறும் விடை,மறைவிடை,சுட்டுவிடை,நேர்விடை,உற்று உரைத்தல் விடை,நேர்விடை,2,grammar,0
30,இரு சொற்கள் சேரும்போது எந்தவித மாற்றமின்றி சேருவது,இயல்பு புணர்ச்சி,விகாரப்புர்ச்சி,திசைப்பெயர் புணர்ச்சி,மையீற்று புணர்ச்சி,இயல்பு புணர்ச்சி,0,grammar,0
31,பண்புபெயரின் புணர்ச்சி விதிகள்,5,6,7,8,7,2,grammar,0
32,பாதிரி எந்த திணைக்குரிய பூ,குறிஞ்சி,முல்லை,மருதம்,பாலை,பாலை,3,grammar,0
33,உலகு என்னும் சொல் ஈற்றடியின் ஈற்றுச்சீராயின் வாய்ப்பாடு,உலகு,உலகம்,உலா,பிறப்பு,பிறப்பு,3,grammar,0
34,அகவற்பா என்பது ,இன்னிசை வெண்பா,நேரிசை வெண்பா,ஆசிரியப்பா,வெண்பா,ஆசிரியப்பா,2,grammar,0
35,அகத்திணை வகைகள்,5,6,7,8,7,2,grammar,0
36,இலக்கண குறிப்பறிக-கற்க,வினைமுற்று,வியங்கோள் வினைமுற்று,வினையெச்சம்,வினையாலனையும் பெயர்,வியங்கோள் வினைமுற்று,1,grammar,0
37,கந்தன் பாடம் படித்தான் எவ்வகை வாக்கியம்,தன்வினை,செய்வினை,பிறவினை,செயல்பாட்டு வினை,செய்வினை,1,grammar,0
38,அதியமான் அடக்கினான்,பிறவினை,தன்வினை,செயல்பாட்டு வினை,செய்வினை,பிறவினை,0,grammar,0
39,உடுக்கை இழந்தவர் கைபோல -உவமை காண்க,இடுக்கன் தருபவர்,இடுக்கன் களைபவர்,இடுக்கன் தராதவர்,இன்னா செய்பவர்,இடுக்கன் களைபவர்,0,grammar,0
40,இலவு காத்த கிளி-உவமை கருத்தை அறிதல்,கோபம்,துயரம்,அழுகை,ஏமாற்றம்,ஏமாற்றம்,3,grammar,0
41,எந்தமிழ்நா என்பதை பிரித்து எழுதுக,எந்+தமிழ்+நா,எந்த+தமிழ்+நா,எம்+தமிழ்+நா,எந்தம்+தமிழ்+நா,எம்+தமிழ்+நா,2,grammar,0
42,"கேட்டவர் மகிழப் பாடிய பாடல் எது-தொழில் பெயர்,வினையாள பெயர் காண்க",பாடிய;கேட்டவர்,பாடல்;பாடிய,கேட்டவர்;பாடிய,பாடல்;கேட்டவர்,பாடல்;கேட்டவர்,3,grammar,1
43,மிளகாய் விதை -குறிக்கும் பயிர் வகை,குலை வகை,மணிவகை,கொளுந்து வகை,இலை வகை,மணிவகை,1,grammar,0
44,தொல்காப்பியம் எவ்வகை நூல்,இலக்கியம்,இலக்கணம்,நாடகம்,இசை,இலக்கணம்,1,grammar,1
45,கல்- கூட்ட பெயர் காண்க,குலை,கட்டு,மந்தை,குவியல்,குவியல்,3,grammar,1
46,தொகைநிலை தொடர் எத்தனை வகைப்படும்,6,7,8,5,6,0,grammar,0
47,காலம் கரந்த பெயரச்சம்,வேற்றுமைதொகை,பண்புதொகை,வினைதொகை,உவமை தொகை,வினைதொகை,2,grammar,0
48,உவம உருபு மறைந்து வருவது,பண்புதொகை,உவமை தொகை,வேற்றுமைதொகை,வினைதொகை,உவமை தொகை,1,grammar,1
49,செங்காந்தள் என்பது ,வேற்றுமைதொகை,வினைதொகை,உவமை தொகை,பண்புதொகை,பண்புதொகை,3,grammar,1
50,தொகாநிலை தொடர் எத்தனை வகைப்படும்,9,12,6,8,9,0,grammar,0
51,நண்பா எழுது எவ்வகை தொடர்,எழுவாய் தொடர்,விளி தொடர்,பெயரச்ச தொடர்,வினையெச்ச தொடர்,விளி தொடர்,1,grammar,0
52,வினைமுற்றுடன் ஒரு பெயர் தொடர்வது,வினையெச்ச தொடர்,பெயரச்ச தொடர்,வினைமுற்று தொடர்,விளி தொடர்,வினைமுற்று தொடர்,2,grammar,1
53,இரண்டு மூன்று முறை அடுக்கி வருவது,இரட்டைகிளவி,அடுக்குத்தொடர்,எழுவாய் தொடர்,விளி தொடர்,அடுக்குத்தொடர்,1,grammar,1
54,வழு  எத்தனை வகைப்படும்,5,6,7,8,7,2,grammar,0
55,நன்னுளை இயற்றியவர்,தொல்காப்பியர்,பவணந்தி முனிவர்,இலங்கோவடிகள்,ஔவையார்,பவணந்தி முனிவர்,1,grammar,0
56,அருந்துணை பிரித்து எழுதுக,அருமை+துணை,அரு+துணை,அருமை+இணை,அரு+இணை,அருமை+துணை,2,grammar,0
57,சுரமும் சுரம் சார்ந்த இடமும்,குறிஞ்சி,முல்லை,மருதம்,பாலை,பாலை,3,grammar,1
58,அகத்தினை எத்தனை வகைப்படும்,5,6,7,8,7,2,grammar,0
59,கார்காலம் எந்த திணை பொழுது,குறிஞ்சி,மருதம்,முல்லை,நெய்தல்,முல்லை,2,grammar,0
60,விளரி யாழ் எந்த திணை,மருதம்,முல்லை,குறிஞ்சி,நெய்தல்,நெய்தல்,3,grammar,1
61,ஒரு தலை காமம் என்பது,கைக்கிளை,பெருந்திணை,தும்பைத்திணை,காஞ்சிதிணை,கைக்கிளை,0,grammar,0
62,மன்னாசை கொண்டு போரிடுவது,காஞ்சிதிணை,தும்பைத்திணை,கைக்கிளை,பெருந்திணை,காஞ்சிதிணை,0,grammar,0
63,அதசி என்பதன் பொருள்,மிளகு,சணல்,தொழில்,நிலம்,சணல்,1,grammar,1
64,யாப்பு உறுப்புகளின் எண்ணிக்கை,6,7,4,3,6,0,grammar,0
65,ஏகாரத்தில் முடிவது,வெண்பா,ஆசிரியபா,கலிப்பா,வஞ்சிபா,ஆசிரியபா,1,grammar,1
66,யாப்பதிகாரம் எழுதியவர்,வள்ளுவர்,புலவர்குழந்தை,கபிலர்,பரணர்,புலவர்குழந்தை,1,grammar,0
67,நேர்+நேர்,தேமா,புளிமா,கருவிளம்,கூவிளம்,தேமா,0,grammar,0
68,தார் - அலகிடுக,நாள்,மலர்,பிறப்பு,காசு,நாள்,0,grammar,0
69,இருவர் உரையாடுவது போன்றது,செப்பலோசை,அகவலோசை,துள்ளலோசை,தூங்கலோசை,செப்பலோசை,0,grammar,0
70,பூட்கை என்பதன் பொருள்,நட்பு,கொள்கை,நேர்மை,முனிவன்,கொள்கை,1,grammar,0
71,காத்திருத்தல் எதன் உரிபொருள்,முல்லை,மருதம்,நெய்தல்,குறிஞ்சி,முல்லை,0,grammar,0
72,முத்திகனி என்பது,பண்பு தொகை,வினை தொகை,உம்மை தொகை,உவமை தொகை,பண்பு தொகை,0,grammar,0
73,கொடியனார் என்பது,பண்பு தொகை,உம்மை தொகை,இடைக்குறை,வினையெச்சம்,இடைக்குறை,2,grammar,0
74,செய்பவரை முதன்மைபடுத்துவது,தன்வினை,பிறவினை,செய்வினை,செய்யபாட்டு வினை,செய்வினை,2,grammar,0
75,பகுபத உறுப்புகள் எத்தனை வகைப்படும்,5,6,7,8,6,1,grammar,1
76,இவற்றுள் எது எழுத்துப்பேறு,ந்,த்,ப்,ம்,த்,1,grammar,0
77,இவற்றுள் எது எதிர்மறை இடைநிலை,அ,ஆ,இ,ஈ,ஆ,1,grammar,0
78,தமிழ் உள்ள துணைவினைகள்,20,30,40,50,40,2,grammar,0
79,ஓகார இடைச்சொல் எத்தனை இடங்களில் வரும்,8,1,3,2,8,0,grammar,0
0,கீழ்க்கண்டவைகளில் எந்த ஒன்று இந்திய  குடியுரிமை பெறும் வழிமுறை அல்ல?, பிறப்பின் மூலம்,சொத்துரிமை பெறுவதன் மூலம்,"வம்சாவழியின் மூலம்

",இயல்பு குடியுரிமை மூலம்,சொத்துரிமை பெறுவதன் மூலம்,1,civics,0
1,அரசியலமைப்புச் சட்டத்தின் எந்தப் பகுதி மற்றும் பிரிவுகள் குடியுரிமையைப் பற்றிக் குறிப்பிடுகின்றன?,பகுதி II,பகுதி || பிரிவு 5-11,பகுதி II பிரிவு 5-6,பகுதி பிரிவு 5 – 11,பகுதி || பிரிவு 5-11,1,civics,0
2,இந்தியாவின் முதல் குடிமகன் யார்?,பிரதமர்,குடியரசுத் தலைவர்,முதலமைச்சர்,இந்திய தலைமை நீதிபதி,குடியரசுத் தலைவர்,1,civics,0
3, இந்திய அரசியலமைப்புச் சட்டம்  எந்த குடியுரிமையை மட்டும் வழங்குகிறது.,ஒற்றை,இரட்டை,இரண்டும்,இரண்டுமில்லை,ஒற்றை,0,civics,0
4,இளைஞர்களை நவீன சமுதாயத்தை வடிவமைப்பதில் பங்கேற்க செய்யும் ஒரு யோசனை என்பது,இந்திய குடியுரிமை,உலகளாவிய குடியுரிமை,இயல்பு குடியுரிமை,வாழ்வியல் குடியுரிமை,உலகளாவிய குடியுரிமை,1,civics,0
5,அமெரிக்க ஐக்கிய நாடுகள் ______ குடியுரிமையை வழங்குகிறது. ,இரட்டை,இரண்டும்,ஒற்றை,இரண்டுமில்லை,இரட்டை,0,civics,0
6,பாண்டிச்சேரி இந்திய யூனியனுடன் இணைந்த  வருடம்,1962,1955,1956,1945,1962,0,civics,0
7,இந்தியக் குடியுரிமைச் சட்டம்,1960,1955,1964,1965,1955,1,civics,1
8,குடியுரிமை எத்தனை வகைப்படும்,2,6,7,5,2,0,civics,0
9,ஒருவர் பிறப்பால் பெறக்கூடிய குடியுரிமை,இயற்கை குடியுரிமை,இயல்பு குடியுரிமை,வாழ்வியல் குடியுரிமை,உலகளாவிய குடியுரிமை,இயற்கை குடியுரிமை,0,civics,0
10,இந்தியக் குடிமகனாவதற்குரிய எத்தனை வழிமுறைகள் உள்ளன,4,6,5,2,5,2,civics,0
11,ஆதிமனிதன் --------------------- பகுதியில்  குடியேறி விவசாயம் செய்யத் தொடங்கினான்.,"
சமவெளிகள்",குன்றுகள்,மலைகள்,ஆற்றோரம்,ஆற்றோரம்,3,civics,1
12,மக்களாட்சியின் பிறப்பிடம் ------------------,சீனா,அமெரிக்கா,கிரேக்கம், ரோம்,கிரேக்கம்,2,civics,0
13,உலக மக்களாட்சி தினம் ---------------- ஆகும்., செப்டம்பர் 15, அக்டோபர் 15,ஜனவரி 15, டிசம்பர் 15, செப்டம்பர் 15,0,civics,0
14,நேரடி மக்களாட்சியில் வாக்களிப்பவர் -----------------------,ஆண்கள்,பெண்கள்,பிரதிநிதிகள்,வாக்காளர்கள்,வாக்காளர்கள்,3,civics,1
15,நேரடி மக்களாட்சியைச் செயல்படுத்தும் நாடு ,இந்தியா,சீனா,அமொரிக்கா,சுவிட்சர்லாந்து,சுவிட்சர்லாந்து,3,civics,0
16,மக்களாட்சிக்கான வரையறையை வகுத்தவர்  யார்,காந்தி,ஆப்ரகாம் லிங்கன்,நேரு,வல்லபாய் படேல் ,ஆப்ரகாம் லிங்கன்,1,civics,0
